timestamp,arrivalTime,idFrame,uplink_delay
1.236002984,1.236002984,1,0.0000016996
1.2360046912,1.2360046912,1,0.0000016996
1.2360063984,1.2360063984,1,0.0000016996
1.236502984,1.236502984,1,0.0000016996
1.2365059256,1.2365059256,1,0.0000016996
1.2370010168,1.2370010168,1,0.0004980252
1.2370046912,1.2370046912,1,0.0000016996
1.237502984,1.237502984,1,0.0000016996
1.237503428,1.237503428,1,0.0005016708
1.238002984,1.238002984,1,0.0000016996
1.238502984,1.238502984,1,0.0000016996
1.2385046912,1.2385046912,1,0.0000016996
1.239002984,1.239002984,1,0.0000016996
1.2400010168,1.2400010168,1,0.0004997324
1.240502984,1.240502984,1,0.0000016996
1.241502984,1.241502984,1,0.0000016996
1.2420010168,1.2420010168,1,0.0009997324
1.2420034568,1.2420034568,1,0.0000016996
1.2430010168,1.2430010168,1,0.0004997324
1.246002984,1.246002984,2,0.0000016996
1.2460046912,1.2460046912,2,0.0000016996
1.2460063984,1.2460063984,2,0.0000016996
1.246502984,1.246502984,2,0.0000016996
1.2465059256,1.2465059256,2,0.0000016996
1.2470010168,1.2470010168,2,0.0004980252
1.2470046912,1.2470046912,2,0.0000016996
1.247502984,1.247502984,2,0.0000016996
1.247503428,1.247503428,2,0.0005016708
1.2480042184,1.2480042184,2,0.0000016996
1.248502984,1.248502984,2,0.0000016996
1.2485046912,1.2485046912,2,0.0000016996
1.249002984,1.249002984,2,0.0000016996
1.2495010168,1.2495010168,2,0.0014997324
1.2495034568,1.2495034568,2,0.0000016996
1.250002984,1.250002984,2,0.0000016996
1.251502984,1.251502984,2,0.0000016996
1.2525010168,1.2525010168,2,0.0004997324
1.256002984,1.256002984,3,0.0000016996
1.2560046912,1.2560046912,3,0.0000016996
1.2560063984,1.2560063984,3,0.0000016996
1.2565042184,1.2565042184,2,0.0000016996
1.2570010168,1.2570010168,3,0.0004997324
1.2570034568,1.2570034568,3,0.0000016996
1.257005164,1.257005164,3,0.0000016996
1.257502984,1.257502984,3,0.0000016996
1.2575046912,1.2575046912,3,0.0000016996
1.258002984,1.258002984,3,0.0000016996
1.258502984,1.258502984,3,0.0000016996
1.2585046912,1.2585046912,3,0.0000016996
1.259002984,1.259002984,3,0.0000016996
1.259502984,1.259502984,3,0.0000016996
1.2595046912,1.2595046912,3,0.0000016996
1.260002984,1.260002984,3,0.0000016996
1.260502984,1.260502984,3,0.0000016996
1.261502984,1.261502984,3,0.0000016996
1.2630010168,1.2630010168,3,0.0004997324
1.264002984,1.264002984,3,0.0000016996
1.266002984,1.266002984,4,0.0000016996
1.2660046912,1.2660046912,4,0.0000016996
1.2660063984,1.2660063984,4,0.0000016996
1.266502984,1.266502984,4,0.0000016996
1.2665059256,1.2665059256,4,0.0000016996
1.2670010168,1.2670010168,4,0.0004980252
1.2670034568,1.2670034568,4,0.0000016996
1.267502984,1.267502984,4,0.0000016996
