timestamp,ueAppPort,destination,packet_size_to_send(B),payload_size_to_send(B), idFrame, distance, neig
1.238002984,4009,car[18],1,1,0,61.9839,1
1.2380063984,4009,car[9],1,1,0,13.0384,1
1.239503428,4009,car[15],1,1,0,214.457,1
1.240002984,4009,car[5],1,1,0,13.0384,1
1.2405046912,4009,car[1],1,1,0,61.9839,1
1.2420010168,4009,car[17],1,1,0,111.83,1
1.243502984,4009,car[11],1,1,0,214.457,1
1.2440034568,4009,car[14],1,1,0,111.83,1
1.248002984,4009,car[18],1,1,0,61.9839,1
1.2480063984,4009,car[9],1,1,0,13.0384,1
1.249503428,4009,car[15],1,1,0,214.457,1
1.2500042184,4009,car[5],1,1,0,13.0384,1
1.2505046912,4009,car[1],1,1,0,61.9839,1
1.251002984,4009,car[11],1,1,0,214.457,1
1.252002984,4009,car[17],1,1,0,111.83,1
1.253502984,4009,car[14],1,1,0,111.83,1
1.258002984,4009,car[18],1,1,0,61.9839,1
1.2580063984,4009,car[9],1,1,0,13.0384,1
1.259502984,4009,car[15],1,1,0,214.457,1
1.2605046912,4009,car[1],1,1,0,61.9839,1
1.261002984,4009,car[11],1,1,0,214.457,1
1.261502984,4009,car[5],1,1,0,13.0384,1
1.262502984,4009,car[17],1,1,0,111.83,1
1.263502984,4009,car[14],1,1,0,111.83,1
1.268002984,4009,car[18],1,1,0,61.9839,1
1.2680063984,4009,car[9],1,1,0,13.0384,1
1.2695046912,4009,car[15],1,1,0,214.457,1
1.2700042184,4009,car[5],1,1,0,13.0384,1
1.2705046912,4009,car[1],1,1,0,61.9839,1
1.271002984,4009,car[11],1,1,0,214.457,1
1.272002984,4009,car[17],1,1,0,111.83,1
1.276502984,4009,car[14],1,1,0,111.83,1
1.278002984,4009,car[18],1,1,0,61.9839,1
1.2780063984,4009,car[9],1,1,0,13.0384,1
1.279503428,4009,car[15],1,1,0,214.457,1
1.2800042184,4009,car[5],1,1,0,13.0384,1
1.2805046912,4009,car[1],1,1,0,61.9839,1
1.281002984,4009,car[11],1,1,0,214.457,1
1.282002984,4009,car[17],1,1,0,111.83,1
1.286502984,4009,car[14],1,1,0,111.83,1
1.288002984,4009,car[18],1,1,0,61.9839,1
1.2880063984,4009,car[9],1,1,0,13.0384,1
1.289503428,4009,car[15],1,1,0,214.457,1
1.2900042184,4009,car[5],1,1,0,13.0384,1
1.2905046912,4009,car[1],1,1,0,61.9839,1
