timestamp,idFrame,downlink_delay(s),deviceSimbolicAppAddress_,speed,roadID,AppName,ueAppPort,nbRcvMsg, from,nb_neighbor
1.2405,1,0.0024965992,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537840,pong,4
1.2405,1,0.0024951224,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537841,car[2],4
1.2405,1,0.0024968296,car[2],traciVehicle->getSpeed(),4006683,test,4009,0,car[1],3
1.2405,1,0.0024949496,car[2],traciVehicle->getSpeed(),4006683,test,4009,1,pong,3
1.2405,1,0.0024934152,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184414,car[5],2
1.2405,1,0.0024931848,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195215,pong,4
1.2405,1,0.0024933576,car[7],traciVehicle->getSpeed(),25472299,test,4009,0,car[5],2
1.2405,1,0.0024933,car[9],traciVehicle->getSpeed(),4006691,test,4009,0,car[5],4
1.2405,1,0.002496772,car[11],traciVehicle->getSpeed(),37591481,test,4009,0,car[1],2
1.2405,1,0.0024967144,car[13],traciVehicle->getSpeed(),10425130,test,4009,0,car[1],5
1.2405,1,0.0024950648,car[13],traciVehicle->getSpeed(),10425130,test,4009,1,car[2],5
1.2405,1,0.0024932424,car[13],traciVehicle->getSpeed(),10425130,test,4009,2,car[5],5
1.2405,1,0.0024966568,car[18],traciVehicle->getSpeed(),4006684,test,4009,0,car[1],3
1.2405,1,0.0024950072,car[18],traciVehicle->getSpeed(),4006684,test,4009,1,car[2],3
1.241,1,0.0024968296,car[3],traciVehicle->getSpeed(),-4006740,test,4009,114068032,pong,0
1.241,1,0.002493888,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195214,car[7],4
1.241,1,0.0024937728,car[7],traciVehicle->getSpeed(),25472299,test,4009,1,pong,2
1.241,1,0.0024938304,car[9],traciVehicle->getSpeed(),4006691,test,4009,1,car[7],4
1.2415,1,0.0024986816,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184415,pong,2
1.2415,1,0.0024987968,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195213,car[4],4
1.2415,1,0.0024987392,car[9],traciVehicle->getSpeed(),4006691,test,4009,2,car[4],4
1.2415,1,0.0024950072,car[12],traciVehicle->getSpeed(),4047378,test,4009,0,pong,2
1.2415,1,0.0024951224,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,0,car[12],3
1.2415,1,0.0024950648,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690272,car[12],3
1.242,1,0.0024963856,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537842,car[11],4
1.242,1,0.0024967144,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,0,pong,2
1.242,1,0.0024962704,car[11],traciVehicle->getSpeed(),37591481,test,4009,1,pong,2
1.242,1,0.0024968296,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,1,car[6],3
1.242,1,0.002496328,car[15],traciVehicle->getSpeed(),-113939241,test,4009,0,car[11],1
1.242,1,0.002496772,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690271,car[6],3
1.2425,1,0.0024968296,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184416,car[9],2
1.2425,1,0.002496772,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195212,car[9],4
1.2425,1,0.0024967144,car[7],traciVehicle->getSpeed(),25472299,test,4009,2,car[9],2
1.2425,1,0.0024965992,car[9],traciVehicle->getSpeed(),4006691,test,4009,3,pong,4
1.2425,1,0.0024966568,car[13],traciVehicle->getSpeed(),10425130,test,4009,3,car[9],5
1.243,1,0.0024968296,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537843,car[13],4
1.243,1,0.0024951224,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537844,car[18],4
1.243,1,0.002496772,car[2],traciVehicle->getSpeed(),4006683,test,4009,2,car[13],3
1.243,1,0.0024950648,car[2],traciVehicle->getSpeed(),4006683,test,4009,3,car[18],3
1.243,1,0.0024967144,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195211,car[13],4
1.243,1,0.0024966568,car[9],traciVehicle->getSpeed(),4006691,test,4009,4,car[13],4
1.243,1,0.0024965416,car[13],traciVehicle->getSpeed(),10425130,test,4009,4,pong,5
1.243,1,0.0024950072,car[13],traciVehicle->getSpeed(),10425130,test,4009,5,car[18],5
1.243,1,0.0024965992,car[18],traciVehicle->getSpeed(),4006684,test,4009,2,car[13],3
1.243,1,0.0024949496,car[18],traciVehicle->getSpeed(),4006684,test,4009,3,pong,3
1.2435,1,0.0024968296,car[8],traciVehicle->getSpeed(),-5445204#2,test,4009,0,car[16],1
1.2435,1,0.002496772,car[16],traciVehicle->getSpeed(),30405358#1,test,4009,0,pong,1
1.2445,1,0.0024987968,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,1,car[14],2
1.2445,1,0.0024987392,car[12],traciVehicle->getSpeed(),4047378,test,4009,1,car[14],2
1.2445,1,0.002498624,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,2,pong,3
1.2445,1,0.0024986816,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690270,car[14],3
1.246,1,0.0024968296,car[11],traciVehicle->getSpeed(),37591481,test,4009,2,car[15],2
1.246,1,0.002496772,car[15],traciVehicle->getSpeed(),-113939241,test,4009,1,pong,1
1.2465,1,0.0024963568,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,2,car[17],2
1.2465,1,0.0024987392,car[8],traciVehicle->getSpeed(),-5445204#2,test,4009,1,pong,1
1.2465,1,0.0024962992,car[12],traciVehicle->getSpeed(),4047378,test,4009,2,car[17],2
1.2465,1,0.0024962416,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,3,car[17],3
1.2465,1,0.0024987968,car[16],traciVehicle->getSpeed(),30405358#1,test,4009,1,car[8],1
1.2465,1,0.002496184,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690269,pong,3
1.2475,1,0.0024987968,car[0],traciVehicle->getSpeed(),30405358#0,test,4009,0,pong,0
1.2505,1,0.0024968296,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537845,car[2],4
1.2505,2,0.0024966568,car[2],traciVehicle->getSpeed(),4006683,test,4009,4,pong,3
1.2505,1,0.0024951224,car[10],traciVehicle->getSpeed(),4006705#1,test,4009,0,pong,0
1.2505,1,0.002496772,car[13],traciVehicle->getSpeed(),10425130,test,4009,6,car[2],5
1.2505,1,0.0024967144,car[18],traciVehicle->getSpeed(),4006684,test,4009,4,car[2],3
1.251,2,0.0024965992,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537846,pong,4
1.251,1,0.0024968296,car[2],traciVehicle->getSpeed(),4006683,test,4009,5,car[1],3
1.251,1,0.0024951224,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184417,car[5],2
1.251,2,0.002494892,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195210,pong,4
1.251,1,0.0024934152,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195209,car[7],4
1.251,1,0.0024950648,car[7],traciVehicle->getSpeed(),25472299,test,4009,3,car[5],2
1.251,2,0.0024933,car[7],traciVehicle->getSpeed(),25472299,test,4009,4,pong,2
1.251,1,0.0024950072,car[9],traciVehicle->getSpeed(),4006691,test,4009,5,car[5],4
1.251,1,0.0024933576,car[9],traciVehicle->getSpeed(),4006691,test,4009,6,car[7],4
1.251,1,0.002496772,car[11],traciVehicle->getSpeed(),37591481,test,4009,3,car[1],2
1.251,1,0.0024967144,car[13],traciVehicle->getSpeed(),10425130,test,4009,7,car[1],5
1.251,1,0.0024949496,car[13],traciVehicle->getSpeed(),10425130,test,4009,8,car[5],5
1.251,1,0.0024966568,car[18],traciVehicle->getSpeed(),4006684,test,4009,5,car[1],3
1.2515,2,0.0024968296,car[3],traciVehicle->getSpeed(),-4006740,test,4009,114068033,pong,0
1.2515,2,0.0024950072,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184418,pong,2
1.2515,1,0.0024951224,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195208,car[4],4
1.2515,1,0.0024950648,car[9],traciVehicle->getSpeed(),4006691,test,4009,7,car[4],4
1.252,1,0.0024968296,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537847,car[11],4
1.252,2,0.0024967144,car[11],traciVehicle->getSpeed(),37591481,test,4009,4,pong,2
1.252,2,0.0024962704,car[12],traciVehicle->getSpeed(),4047378,test,4009,3,pong,2
1.252,1,0.0024963856,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,4,car[12],3
1.252,1,0.002496772,car[15],traciVehicle->getSpeed(),-113939241,test,4009,2,car[11],1
1.252,1,0.002496328,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690268,car[12],3
1.2525,2,0.0024967144,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,3,pong,2
1.2525,1,0.0024968296,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,5,car[6],3
1.2525,1,0.002496772,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690267,car[6],3
1.253,1,0.0024968296,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537848,car[13],4
1.253,1,0.0024951224,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537849,car[18],4
1.253,1,0.002496772,car[2],traciVehicle->getSpeed(),4006683,test,4009,6,car[13],3
1.253,1,0.0024950648,car[2],traciVehicle->getSpeed(),4006683,test,4009,7,car[18],3
1.253,1,0.0024967144,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195207,car[13],4
1.253,1,0.0024966568,car[9],traciVehicle->getSpeed(),4006691,test,4009,8,car[13],4
1.253,2,0.0024965416,car[13],traciVehicle->getSpeed(),10425130,test,4009,9,pong,5
1.253,1,0.0024950072,car[13],traciVehicle->getSpeed(),10425130,test,4009,10,car[18],5
1.253,1,0.0024965992,car[18],traciVehicle->getSpeed(),4006684,test,4009,6,car[13],3
1.253,2,0.0024949496,car[18],traciVehicle->getSpeed(),4006684,test,4009,7,pong,3
1.2535,1,0.0024968296,car[11],traciVehicle->getSpeed(),37591481,test,4009,5,car[15],2
1.2535,2,0.002496772,car[15],traciVehicle->getSpeed(),-113939241,test,4009,3,pong,1
1.254,1,0.0024987968,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184419,car[9],2
1.254,1,0.0024987392,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195206,car[9],4
1.254,1,0.0024986816,car[7],traciVehicle->getSpeed(),25472299,test,4009,5,car[9],2
1.254,2,0.0024985664,car[9],traciVehicle->getSpeed(),4006691,test,4009,9,pong,4
1.254,1,0.002498624,car[13],traciVehicle->getSpeed(),10425130,test,4009,11,car[9],5
1.2545,2,0.002496772,car[8],traciVehicle->getSpeed(),-5445204#2,test,4009,2,pong,1
1.2545,1,0.0024968296,car[16],traciVehicle->getSpeed(),30405358#1,test,4009,2,car[8],1
1.255,1,0.0024968296,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,4,car[14],2
1.255,1,0.002496772,car[12],traciVehicle->getSpeed(),4047378,test,4009,4,car[14],2
1.255,2,0.0024966568,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,6,pong,3
1.255,1,0.0024967144,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690266,car[14],3
1.256,1,0.0024968296,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,5,car[17],2
1.256,1,0.002496772,car[12],traciVehicle->getSpeed(),4047378,test,4009,5,car[17],2
1.256,1,0.0024967144,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,7,car[17],3
1.256,2,0.0024966568,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-1073690265,pong,3
1.257,1,0.0024955952,car[8],traciVehicle->getSpeed(),-5445204#2,test,4009,3,car[16],1
1.257,2,0.0024955376,car[16],traciVehicle->getSpeed(),30405358#1,test,4009,3,pong,1
1.2575,2,0.0024987968,car[0],traciVehicle->getSpeed(),30405358#0,test,4009,1,pong,0
1.2605,3,0.0024965992,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537850,pong,4
1.2605,1,0.0024951224,car[1],traciVehicle->getSpeed(),-4006683,test,4009,121537851,car[2],4
1.2605,1,0.0024968296,car[2],traciVehicle->getSpeed(),4006683,test,4009,8,car[1],3
1.2605,3,0.0024949496,car[2],traciVehicle->getSpeed(),4006683,test,4009,9,pong,3
1.2605,1,0.0024934152,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,1251184420,car[5],2
1.2605,3,0.0024931848,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,-1431195205,pong,4
