timestamp,ueAppAddress,ueAppPort,car,packet_size_to_send(B),payload_size_to_send(B)
1.238002984,10.0.1.88,4009,car[1],2000,1
1.2380046912,10.0.1.144,4009,car[2],2000,1
1.2380063984,10.0.2.56,4009,car[5],2000,1
1.238502984,10.0.1.200,4009,car[3],2000,1
1.2385059256,10.0.2.168,4009,car[7],2000,1
1.2390010168,10.0.2.0,4009,car[4],2000,1
1.2390046912,10.0.3.192,4009,car[12],2000,1
1.239502984,10.0.2.112,4009,car[6],2000,1
1.239503428,10.0.3.136,4009,car[11],2000,1
1.240002984,10.0.3.24,4009,car[9],2000,1
1.240502984,10.0.3.248,4009,car[13],2000,1
1.2405046912,10.0.5.16,4009,car[18],2000,1
1.241002984,10.0.4.160,4009,car[16],2000,1
1.2420010168,10.0.4.48,4009,car[14],2000,1
1.242502984,10.0.3.80,4009,car[10],2000,1
1.243502984,10.0.4.104,4009,car[15],2000,1
1.244002984,10.0.4.216,4009,car[17],2000,1
1.2450010168,10.0.1.32,4009,car[0],2000,1
1.246002984,10.0.2.224,4009,car[8],2000,1
1.248002984,10.0.1.88,4009,car[1],2000,1
1.2480046912,10.0.1.144,4009,car[2],2000,1
1.2480063984,10.0.2.56,4009,car[5],2000,1
1.248502984,10.0.1.200,4009,car[3],2000,1
1.2485059256,10.0.2.168,4009,car[7],2000,1
1.2490010168,10.0.2.0,4009,car[4],2000,1
1.2490046912,10.0.3.192,4009,car[12],2000,1
1.2495010168,10.0.3.136,4009,car[11],2000,1
1.2500042184,10.0.3.24,4009,car[9],2000,1
1.250502984,10.0.3.248,4009,car[13],2000,1
1.2505046912,10.0.5.16,4009,car[18],2000,1
1.251002984,10.0.4.104,4009,car[15],2000,1
1.2515010168,10.0.2.224,4009,car[8],2000,1
1.2515034568,10.0.4.160,4009,car[16],2000,1
1.252002984,10.0.4.48,4009,car[14],2000,1
1.252502984,10.0.2.112,4009,car[6],2000,1
1.253502984,10.0.4.216,4009,car[17],2000,1
1.2545010168,10.0.1.32,4009,car[0],2000,1
1.256002984,10.0.3.80,4009,car[10],2000,1
1.258002984,10.0.1.88,4009,car[1],2000,1
1.2580046912,10.0.1.144,4009,car[2],2000,1
1.2580063984,10.0.2.56,4009,car[5],2000,1
1.258502984,10.0.1.200,4009,car[3],2000,1
1.2585059256,10.0.2.168,4009,car[7],2000,1
1.2590010168,10.0.2.0,4009,car[4],2000,1
1.259502984,10.0.2.112,4009,car[6],2000,1
1.2595046912,10.0.3.136,4009,car[11],2000,1
1.2600042184,10.0.3.24,4009,car[9],2000,1
1.260502984,10.0.5.16,4009,car[18],2000,1
1.2615010168,10.0.2.224,4009,car[8],2000,1
1.2615034568,10.0.4.160,4009,car[16],2000,1
1.262002984,10.0.3.192,4009,car[12],2000,1
1.2625010168,10.0.4.48,4009,car[14],2000,1
1.263002984,10.0.3.80,4009,car[10],2000,1
1.264002984,10.0.4.104,4009,car[15],2000,1
1.2650010168,10.0.1.32,4009,car[0],2000,1
1.266502984,10.0.3.248,4009,car[13],2000,1
1.2665046912,10.0.4.216,4009,car[17],2000,1
1.268002984,10.0.1.88,4009,car[1],2000,1
1.2680046912,10.0.1.144,4009,car[2],2000,1
1.2680063984,10.0.2.56,4009,car[5],2000,1
1.268502984,10.0.1.200,4009,car[3],2000,1
1.2685059256,10.0.2.168,4009,car[7],2000,1
1.2690010168,10.0.2.0,4009,car[4],2000,1
1.2690046912,10.0.3.192,4009,car[12],2000,1
1.269502984,10.0.2.112,4009,car[6],2000,1
1.269503428,10.0.3.136,4009,car[11],2000,1
1.2700042184,10.0.3.24,4009,car[9],2000,1
1.270502984,10.0.3.248,4009,car[13],2000,1
1.2705046912,10.0.5.16,4009,car[18],2000,1
1.2720010168,10.0.4.48,4009,car[14],2000,1
1.272502984,10.0.3.80,4009,car[10],2000,1
1.273502984,10.0.4.104,4009,car[15],2000,1
1.2740010168,10.0.2.224,4009,car[8],2000,1
1.2740034568,10.0.4.160,4009,car[16],2000,1
1.2750010168,10.0.1.32,4009,car[0],2000,1
1.277002984,10.0.4.216,4009,car[17],2000,1
1.278002984,10.0.1.88,4009,car[1],2000,1
1.2780046912,10.0.1.144,4009,car[2],2000,1
1.2780063984,10.0.2.56,4009,car[5],2000,1
1.278502984,10.0.1.200,4009,car[3],2000,1
1.2785059256,10.0.2.168,4009,car[7],2000,1
1.2790010168,10.0.2.0,4009,car[4],2000,1
1.2790046912,10.0.3.192,4009,car[12],2000,1
1.279502984,10.0.2.112,4009,car[6],2000,1
1.279503428,10.0.3.136,4009,car[11],2000,1
1.2800042184,10.0.3.24,4009,car[9],2000,1
1.280502984,10.0.5.16,4009,car[18],2000,1
1.281002984,10.0.4.104,4009,car[15],2000,1
1.2815010168,10.0.2.224,4009,car[8],2000,1
1.2815034568,10.0.4.160,4009,car[16],2000,1
1.282002984,10.0.4.48,4009,car[14],2000,1
1.282502984,10.0.3.80,4009,car[10],2000,1
1.283502984,10.0.3.248,4009,car[13],2000,1
1.2835046912,10.0.4.216,4009,car[17],2000,1
1.2845010168,10.0.1.32,4009,car[0],2000,1
1.288002984,10.0.1.88,4009,car[1],2000,1
1.2880046912,10.0.1.144,4009,car[2],2000,1
1.2880063984,10.0.2.56,4009,car[5],2000,1
1.2885042184,10.0.2.168,4009,car[7],2000,1
1.2890010168,10.0.2.0,4009,car[4],2000,1
1.289502984,10.0.2.112,4009,car[6],2000,1
1.289503428,10.0.3.136,4009,car[11],2000,1
1.2900042184,10.0.3.24,4009,car[9],2000,1
1.290502984,10.0.3.248,4009,car[13],2000,1
1.2905046912,10.0.5.16,4009,car[18],2000,1
1.291002984,10.0.4.104,4009,car[15],2000,1
1.291502984,10.0.1.200,4009,car[3],2000,1
1.291503428,10.0.2.224,4009,car[8],2000,1
1.291505164,10.0.4.160,4009,car[16],2000,1
1.292002984,10.0.3.192,4009,car[12],2000,1
1.292502984,10.0.4.48,4009,car[14],2000,1
1.293002984,10.0.3.80,4009,car[10],2000,1
1.293502984,10.0.4.216,4009,car[17],2000,1
1.2950010168,10.0.1.32,4009,car[0],2000,1
1.298002984,10.0.1.88,4009,car[1],2000,1
1.2980046912,10.0.1.144,4009,car[2],2000,1
1.2980063984,10.0.2.56,4009,car[5],2000,1
1.298502984,10.0.1.200,4009,car[3],2000,1
1.2985059256,10.0.2.168,4009,car[7],2000,1
1.2990010168,10.0.2.0,4009,car[4],2000,1
1.2990046912,10.0.3.192,4009,car[12],2000,1
1.299502984,10.0.2.112,4009,car[6],2000,1
1.299503428,10.0.3.136,4009,car[11],2000,1
1.3000042184,10.0.3.24,4009,car[9],2000,1
1.300502984,10.0.3.248,4009,car[13],2000,1
1.3005046912,10.0.5.16,4009,car[18],2000,1
1.301002984,10.0.4.104,4009,car[15],2000,1
1.3015010168,10.0.2.224,4009,car[8],2000,1
1.3015034568,10.0.4.160,4009,car[16],2000,1
1.302002984,10.0.4.48,4009,car[14],2000,1
1.302502984,10.0.3.80,4009,car[10],2000,1
1.303502984,10.0.4.216,4009,car[17],2000,1
1.3045010168,10.0.1.32,4009,car[0],2000,1
1.308002984,10.0.1.88,4009,car[1],2000,1
1.3080046912,10.0.1.144,4009,car[2],2000,1
1.3080063984,10.0.2.56,4009,car[5],2000,1
1.3085042184,10.0.2.168,4009,car[7],2000,1
1.3090010168,10.0.2.0,4009,car[4],2000,1
1.3090046912,10.0.3.192,4009,car[12],2000,1
1.3095010168,10.0.3.136,4009,car[11],2000,1
1.3100042184,10.0.3.24,4009,car[9],2000,1
1.310502984,10.0.3.248,4009,car[13],2000,1
1.3105046912,10.0.5.16,4009,car[18],2000,1
1.311002984,10.0.4.104,4009,car[15],2000,1
1.311502984,10.0.1.200,4009,car[3],2000,1
1.311503428,10.0.2.224,4009,car[8],2000,1
1.311505164,10.0.4.160,4009,car[16],2000,1
1.312502984,10.0.2.112,4009,car[6],2000,1
1.312503428,10.0.4.48,4009,car[14],2000,1
1.313002984,10.0.3.80,4009,car[10],2000,1
1.313502984,10.0.4.216,4009,car[17],2000,1
1.3150010168,10.0.1.32,4009,car[0],2000,1
1.318002984,10.0.1.88,4009,car[1],2000,1
1.3180046912,10.0.1.144,4009,car[2],2000,1
1.3180063984,10.0.2.56,4009,car[5],2000,1
1.318502984,10.0.1.200,4009,car[3],2000,1
1.3185059256,10.0.2.168,4009,car[7],2000,1
1.3190010168,10.0.2.0,4009,car[4],2000,1
1.3190046912,10.0.3.192,4009,car[12],2000,1
1.319502984,10.0.2.112,4009,car[6],2000,1
1.319503428,10.0.3.136,4009,car[11],2000,1
1.3200042184,10.0.3.24,4009,car[9],2000,1
1.320502984,10.0.3.248,4009,car[13],2000,1
1.3205046912,10.0.5.16,4009,car[18],2000,1
1.321002984,10.0.4.104,4009,car[15],2000,1
1.3215010168,10.0.2.224,4009,car[8],2000,1
1.3215034568,10.0.4.160,4009,car[16],2000,1
1.322002984,10.0.4.48,4009,car[14],2000,1
1.322502984,10.0.3.80,4009,car[10],2000,1
1.323502984,10.0.4.216,4009,car[17],2000,1
1.3245010168,10.0.1.32,4009,car[0],2000,1
1.328002984,10.0.1.88,4009,car[1],2000,1
1.3280046912,10.0.1.144,4009,car[2],2000,1
1.3280063984,10.0.2.56,4009,car[5],2000,1
1.3285042184,10.0.2.168,4009,car[7],2000,1
1.3290010168,10.0.2.0,4009,car[4],2000,1
1.3290046912,10.0.3.192,4009,car[12],2000,1
1.329502984,10.0.2.112,4009,car[6],2000,1
1.329503428,10.0.3.136,4009,car[11],2000,1
1.3300042184,10.0.3.24,4009,car[9],2000,1
1.330502984,10.0.3.248,4009,car[13],2000,1
1.3305046912,10.0.5.16,4009,car[18],2000,1
1.331002984,10.0.4.104,4009,car[15],2000,1
1.331502984,10.0.1.200,4009,car[3],2000,1
1.331503428,10.0.2.224,4009,car[8],2000,1
1.331505164,10.0.4.160,4009,car[16],2000,1
1.3325010168,10.0.4.48,4009,car[14],2000,1
1.333502984,10.0.4.216,4009,car[17],2000,1
1.3345010168,10.0.1.32,4009,car[0],2000,1
1.336002984,10.0.3.80,4009,car[10],2000,1
1.338002984,10.0.1.88,4009,car[1],2000,1
1.3380046912,10.0.1.144,4009,car[2],2000,1
1.3380063984,10.0.2.56,4009,car[5],2000,1
1.3385042184,10.0.2.168,4009,car[7],2000,1
1.3390010168,10.0.2.0,4009,car[4],2000,1
1.3390034568,10.0.3.192,4009,car[12],2000,1
1.339502984,10.0.2.112,4009,car[6],2000,1
1.3400042184,10.0.3.24,4009,car[9],2000,1
1.340502984,10.0.3.248,4009,car[13],2000,1
1.3405046912,10.0.5.16,4009,car[18],2000,1
1.341002984,10.0.4.104,4009,car[15],2000,1
1.341502984,10.0.1.200,4009,car[3],2000,1
1.3415046912,10.0.4.160,4009,car[16],2000,1
1.342002984,10.0.3.136,4009,car[11],2000,1
1.342502984,10.0.4.48,4009,car[14],2000,1
1.343002984,10.0.3.80,4009,car[10],2000,1
1.343502984,10.0.4.216,4009,car[17],2000,1
1.344502984,10.0.2.224,4009,car[8],2000,1
1.3450010168,10.0.1.32,4009,car[0],2000,1
1.348002984,10.0.1.88,4009,car[1],2000,1
1.3480046912,10.0.1.144,4009,car[2],2000,1
1.3480063984,10.0.2.56,4009,car[5],2000,1
1.348502984,10.0.2.0,4009,car[4],2000,1
1.3485046912,10.0.2.168,4009,car[7],2000,1
1.349002984,10.0.3.136,4009,car[11],2000,1
